============================================================
Time  2018/05/22 12:57:09 136 
============================================================
[2018/05/22 12:57:09 136] isr        28   isr loaded!  
[2018/05/22 12:57:09 136] isr        48   wifi  
[2018/05/22 12:57:11 242] isr_1conn  1693 ISR_MSG_AUW  320  2  
[2018/05/22 12:57:11 251] isr_1conn  1693 ISR_MSG_AUW  320  2  
[2018/05/22 12:57:11 262] isr_1conn  1693 ISR_MSG_AUW  320  2  
[2018/05/22 12:57:11 272] isr_1conn  1693 ISR_MSG_AUW  320  2  
[2018/05/22 12:57:11 282] isr_1conn  1693 ISR_MSG_AUW  320  2  
[2018/05/22 12:57:11 292] isr_1conn  1693 ISR_MSG_AUW  320  2  
[2018/05/22 12:57:11 302] isr_1conn  1693 ISR_MSG_AUW  320  2  
[2018/05/22 12:57:11 312] isr_1conn  1693 ISR_MSG_AUW  320  2  
[2018/05/22 12:57:11 322] isr_1conn  1693 ISR_MSG_AUW  320  2  
[2018/05/22 12:57:11 333] isr_1conn  1693 ISR_MSG_AUW  320  2  
[2018/05/22 12:57:11 341] isr_1conn  239  netperf:  32  
[2018/05/22 12:57:11 342] isr_1conn  1693 ISR_MSG_AUW  320  2  
[2018/05/22 12:57:11 352] isr_1conn  1693 ISR_MSG_AUW  320  2  
[2018/05/22 12:57:11 364] isr_1conn  1693 ISR_MSG_AUW  320  2  
[2018/05/22 12:57:11 373] isr_1conn  1693 ISR_MSG_AUW  320  2  
[2018/05/22 12:57:11 383] isr_1conn  1693 ISR_MSG_AUW  320  2  
[2018/05/22 12:57:11 394] isr_1conn  1693 ISR_MSG_AUW  320  2  
[2018/05/22 12:57:11 404] isr_1conn  1693 ISR_MSG_AUW  320  2  
[2018/05/22 12:57:11 414] isr_1conn  1693 ISR_MSG_AUW  320  2  
[2018/05/22 12:57:11 424] isr_1conn  1693 ISR_MSG_AUW  320  2  
[2018/05/22 12:57:11 434] isr_1conn  1693 ISR_MSG_AUW  320  2  
[2018/05/22 12:57:11 444] isr_1conn  1693 ISR_MSG_AUW  320  2  
[2018/05/22 12:57:11 454] isr_1conn  1693 ISR_MSG_AUW  320  2  
[2018/05/22 12:57:11 465] isr_1conn  1693 ISR_MSG_AUW  320  2  
[2018/05/22 12:57:11 475] isr_1conn  1693 ISR_MSG_AUW  320  2  
[2018/05/22 12:57:11 485] isr_1conn  1693 ISR_MSG_AUW  320  2  
[2018/05/22 12:57:11 495] isr_1conn  1693 ISR_MSG_AUW  320  2  
[2018/05/22 12:57:11 505] isr_1conn  1693 ISR_MSG_AUW  320  2  
[2018/05/22 12:57:11 516] isr_1conn  1693 ISR_MSG_AUW  320  2  
[2018/05/22 12:57:11 527] isr_1conn  1693 ISR_MSG_AUW  320  2  
[2018/05/22 12:57:11 536] isr_1conn  1693 ISR_MSG_AUW  320  2  
[2018/05/22 12:57:11 546] isr_1conn  1693 ISR_MSG_AUW  320  2  
[2018/05/22 12:57:11 556] isr_1conn  1693 ISR_MSG_AUW  320  2  
[2018/05/22 12:57:11 566] isr_1conn  1693 ISR_MSG_AUW  320  2  
[2018/05/22 12:57:11 577] isr_1conn  1693 ISR_MSG_AUW  320  2  
[2018/05/22 12:57:11 587] isr_1conn  1693 ISR_MSG_AUW  320  2  
[2018/05/22 12:57:11 597] isr_1conn  1693 ISR_MSG_AUW  320  2  
[2018/05/22 12:57:11 607] isr_1conn  1693 ISR_MSG_AUW  320  2  
[2018/05/22 12:57:11 616] isr_1conn  1693 ISR_MSG_AUW  320  2  
[2018/05/22 12:57:11 628] isr_1conn  1693 ISR_MSG_AUW  320  2  
[2018/05/22 12:57:11 637] isr_1conn  1693 ISR_MSG_AUW  320  2  
[2018/05/22 12:57:11 647] isr_1conn  1693 ISR_MSG_AUW  320  2  
[2018/05/22 12:57:11 654] isr_1conn  239  netperf:  25  
[2018/05/22 12:57:11 657] isr_1conn  1693 ISR_MSG_AUW  320  2  
[2018/05/22 12:57:11 668] isr_1conn  1693 ISR_MSG_AUW  320  2  
